dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,sept6,0.0871032205086591,0.5174705054901005
Breast Visium CID44971,novosparc,stap1,0.0865593761152232,0.14378950275803565
Breast Visium CID44971,novosparc,sla,0.0859508571867315,0.4016121626684313
Breast Visium CID44971,novosparc,trg-as1,0.0829395384693212,0.16289770649040514
Breast Visium CID44971,novosparc,eif1,0.0799939701234874,0.9453653195167023
Breast Visium CID44971,novosparc,lbh,0.079390830138408,0.6185353528771055
Breast Visium CID44971,novosparc,pyhin1,0.0788219946184102,0.17621195713036159
Breast Visium CID44971,novosparc,il2rb,0.0781875203313033,0.32486028201716194
Breast Visium CID44971,novosparc,tmem173,0.0775109085314065,0.427199895764207
Breast Visium CID44971,novosparc,zap70,0.0773901062492309,0.38057476053066414
Breast Visium CID44971,novosparc,mfap4,0.0772641631706272,0.22479054033429072
Breast Visium CID44971,novosparc,rora,0.0748959457379635,0.2565157435859001
Breast Visium CID44971,novosparc,kdr,0.0748252383409463,0.15252357662362132
Breast Visium CID44971,novosparc,pgf,0.073004891408808,0.22591736674328436
Breast Visium CID44971,novosparc,sytl1,0.0722943876237867,0.5185075547364452
Breast Visium CID44971,novosparc,cenpk,0.0722092599932105,0.24528548192027752
Breast Visium CID44971,novosparc,jak1,0.0698896678464836,0.6701650414263314
Breast Visium CID44971,novosparc,gapt,0.0696910347032365,0.15904547596293847
Breast Visium CID44971,novosparc,mctp1,0.0696554109881651,0.12760166385053387
Breast Visium CID44971,novosparc,clic3,0.0677694471898832,0.39982536376886585
Breast Visium CID44971,novosparc,rrbp1,0.0676722874022518,0.6541961157126512
Breast Visium CID44971,novosparc,foxs1,0.0674114879196346,0.10627901853910053
Breast Visium CID44971,novosparc,slit3,0.0653371688800862,0.19950727291892423
Breast Visium CID44971,novosparc,fxyd6,0.063834059628282,0.33793228974679784
Breast Visium CID44971,novosparc,tnfrsf17,0.0596778351796244,0.11262037787021158
Breast Visium CID44971,novosparc,ldb2,0.0595453913935924,0.16628909524018723
Breast Visium CID44971,novosparc,cd3g,0.0594881726350204,0.27750484687566274
Breast Visium CID44971,novosparc,slfn12l,0.0588689052965683,0.13238981048924822
Breast Visium CID44971,novosparc,map1lc3a,0.0578231964269537,0.5542257917123621
Breast Visium CID44971,novosparc,sh3pxd2b,0.0576326500693234,0.2502999057566695
Breast Visium CID44971,novosparc,fam167b,0.0575083859680198,0.12273571357420009
Breast Visium CID44971,novosparc,tnfrsf4,0.0556808705393008,0.3530326005258996
Breast Visium CID44971,novosparc,eps8,0.0554282497474905,0.37563397125471254
Breast Visium CID44971,novosparc,rbp7,0.052405351320024,0.1783280118750753
Breast Visium CID44971,novosparc,mbp,0.0488363018573039,0.3413736518540865
Breast Visium CID44971,novosparc,blnk,0.048497033136564,0.2476462234158826
Breast Visium CID44971,novosparc,parva,0.0452374639180156,0.3969310907340985
Breast Visium CID44971,novosparc,alox5ap,0.0449449868124003,0.38957741098440873
Breast Visium CID44971,novosparc,blk,0.0446273762406906,0.12769922104322026
Breast Visium CID44971,novosparc,mef2c,0.0430243226063393,0.26392528068357685
Breast Visium CID44971,novosparc,zbp1,0.0428349310365044,0.17217147560720406
Breast Visium CID44971,novosparc,sarm1,0.0405444800735688,0.2842927207291554
Breast Visium CID44971,novosparc,sh2d2a,0.0382728264764523,0.2617816239252853
Breast Visium CID44971,novosparc,rab27a,0.0378420614983997,0.36431683058459047
Breast Visium CID44971,novosparc,themis,0.0361561800230067,0.16360049588553197
Breast Visium CID44971,novosparc,brd2,0.0360167272501455,0.6730762091701827
Breast Visium CID44971,novosparc,snx22,0.0349929351168014,0.2211708845618654
Breast Visium CID44971,novosparc,fgfbp2,0.0348589022502536,0.07208661164722763
Breast Visium CID44971,novosparc,faslg,0.0307220970688149,0.1090774988630284
Breast Visium CID44971,novosparc,erg,0.0290815531966165,0.09836727630034665
Breast Visium CID44971,novosparc,higd1b,0.0278429907655502,0.08278129004167269
Breast Visium CID44971,novosparc,stim1,0.0275163771780208,0.41771785917883414
Breast Visium CID44971,novosparc,arrb1,0.025414096792812,0.3317434042128305
Breast Visium CID44971,novosparc,chst12,0.0233154602739126,0.34206610397880877
Breast Visium CID44971,novosparc,plekhf1,0.0215957023158403,0.26846563436886717
Breast Visium CID44971,novosparc,cep112,0.0213113934465174,0.11063694329774838
Breast Visium CID44971,novosparc,slamf1,0.0186012593903136,0.19265503077315677
Breast Visium CID44971,novosparc,fkbp11,0.0183632407376687,0.35410947229724293
Breast Visium CID44971,novosparc,egflam,0.0151230070411361,0.12944181201330907
Breast Visium CID44971,novosparc,ccnd3,0.0106786103271478,0.6161779280315897
Breast Visium CID44971,novosparc,kcnj8,0.0104008151540245,0.1274074596961192
Breast Visium CID44971,novosparc,pxk,0.0095525112049854,0.2787989808165235
Breast Visium CID44971,novosparc,dnase1l3,0.0016894012851037,0.06248710027061732
Breast Visium CID44971,novosparc,ncr1,0.0011284980733369,0.04237281094931463
Breast Visium CID44971,novosparc,gucy1a2,0.0004574578718944,0.05351016281989625
Breast Visium CID44971,novosparc,frmd3,-0.0024142800660836,0.10562366947050628
Breast Visium CID44971,novosparc,tfpi,-0.0029829248293452,0.2602769159256163
Breast Visium CID44971,novosparc,gldn,-0.0039769369918331,0.05285044262842376
Breast Visium CID44971,novosparc,linc00926,-0.0101648224967569,0.13974138254615173
Breast Visium CID44971,novosparc,linc01197,-0.0162024922908379,0.014197114754399035
Breast Visium CID44971,novosparc,hspa1a,-0.0263006676253138,0.6984279763318858
Breast Visium CID44971,novosparc,il7r,-0.0274725515736609,0.416437046202549
Breast Visium CID44971,novosparc,spink2,-0.0318356094998827,0.037532775530575394
Breast Visium CID44971,novosparc,sytl3,-0.0487136173335498,0.18750142042279086
Breast Visium CID44971,novosparc,tmem154,-0.0508472575412636,0.1712647467623288
Breast Visium CID44971,novosparc,pask,-0.0528579463474125,0.3049389860934967
Breast Visium CID44971,novosparc,sell,-0.0672022992982054,0.30331247810630085
Breast Visium CID44971,novosparc,rps8,0.6124842830587909,0.9920730812956291
Breast Visium CID44971,novosparc,rps6,0.5909808702616838,0.9888157792133132
Breast Visium CID44971,novosparc,rpl3,0.5787963791116261,0.9767698895273162
Breast Visium CID44971,novosparc,rps4x,0.5758639493809196,0.9838942706161363
Breast Visium CID44971,novosparc,psap,0.5600382260813148,0.9301280149554292
Breast Visium CID44971,novosparc,rpl15,0.5310450794248067,0.9833576528075947
Breast Visium CID44971,novosparc,xbp1,0.5196924264825811,0.7977958714917679
Breast Visium CID44971,novosparc,col1a1,0.5125472913601543,0.6023740971861516
Breast Visium CID44971,novosparc,malat1,0.5018697647123864,0.9510883709024732
Breast Visium CID44971,novosparc,rpl5,0.5005866858405449,0.9686824737963594
Breast Visium CID44971,novosparc,cox7a2,0.4884641333862018,0.915117378388834
